date,portfolio_return,gross_leverage,net_exposure,n_pairs
2025-10-06 04:00:00,0.0,0.0,0.0,8057
2025-10-07 04:00:00,0.0,0.0,0.0,8057
2025-10-08 04:00:00,0.0,0.0,0.0,8057
2025-10-09 04:00:00,0.0,0.0,0.0,8057
2025-10-10 04:00:00,0.0,0.0,0.0,8057
2025-10-13 04:00:00,0.0,0.0,0.0,8057
2025-10-14 04:00:00,0.0,0.0,0.0,8057
2025-10-15 04:00:00,0.0,0.0,0.0,8057
2025-10-16 04:00:00,0.0,0.0,0.0,8057
2025-10-17 04:00:00,0.0,0.0,0.0,8057
2025-10-20 04:00:00,0.0,0.0,0.0,8057
2025-10-21 04:00:00,0.0,0.0,0.0,8057
2025-10-22 04:00:00,0.0,0.0,0.0,8057
2025-10-23 04:00:00,0.0,0.0,0.0,8057
2025-10-24 04:00:00,0.0,0.0,0.0,8057
2025-10-27 04:00:00,0.0,0.0,0.0,8057
2025-10-28 04:00:00,0.0,0.0,0.0,8057
2025-10-29 04:00:00,0.0,0.0,0.0,8057
2025-10-30 04:00:00,0.0,0.0,0.0,8057
2025-10-31 04:00:00,0.0,3.9999999999999836,0.3152304914957578,8057
2025-11-03 05:00:00,0.005813709586042087,3.9999999999999805,0.40284855715630224,8057
2025-11-04 05:00:00,0.0,0.0,0.0,9591
2025-11-05 05:00:00,0.0,0.0,0.0,9591
2025-11-06 05:00:00,0.0,0.0,0.0,9591
2025-11-07 05:00:00,0.0,0.0,0.0,9591
2025-11-10 05:00:00,0.0,0.0,0.0,9591
2025-11-11 05:00:00,0.0,0.0,0.0,9591
2025-11-12 05:00:00,0.0,0.0,0.0,9591
2025-11-13 05:00:00,0.0,0.0,0.0,9591
2025-11-14 05:00:00,0.0,0.0,0.0,9591
2025-11-17 05:00:00,0.0,0.0,0.0,9591
2025-11-18 05:00:00,0.0,0.0,0.0,9591
2025-11-19 05:00:00,0.0,0.0,0.0,9591
2025-11-20 05:00:00,0.0,0.0,0.0,9591
2025-11-21 05:00:00,0.0,0.0,0.0,9591
2025-11-24 05:00:00,0.0,0.0,0.0,9591
2025-11-25 05:00:00,0.0,0.0,0.0,9591
2025-11-26 05:00:00,0.0,0.0,0.0,9591
2025-11-28 05:00:00,0.0,0.0,0.0,9591
2025-12-01 05:00:00,0.0,0.0,0.0,9591
2025-12-02 05:00:00,0.0,4.000000000000009,0.3687823795511529,9591
2025-12-03 05:00:00,-0.008344734008512596,3.9999999999999787,-0.2333600477168572,9591
2025-12-04 05:00:00,0.0,0.0,0.0,9615
2025-12-05 05:00:00,0.0,0.0,0.0,9615
2025-12-08 05:00:00,0.0,0.0,0.0,9615
2025-12-09 05:00:00,0.0,0.0,0.0,9615
2025-12-10 05:00:00,0.0,0.0,0.0,9615
2025-12-11 05:00:00,0.0,0.0,0.0,9615
2025-12-12 05:00:00,0.0,0.0,0.0,9615
2025-12-15 05:00:00,0.0,0.0,0.0,9615
2025-12-16 05:00:00,0.0,0.0,0.0,9615
2025-12-17 05:00:00,0.0,0.0,0.0,9615
2025-12-18 05:00:00,0.0,0.0,0.0,9615
2025-12-19 05:00:00,0.0,0.0,0.0,9615
2025-12-22 05:00:00,0.0,0.0,0.0,9615
2025-12-23 05:00:00,0.0,0.0,0.0,9615
2025-12-24 05:00:00,0.0,0.0,0.0,9615
2025-12-26 05:00:00,0.0,0.0,0.0,9615
2025-12-29 05:00:00,0.0,0.0,0.0,9615
2025-12-30 05:00:00,0.0,0.0,0.0,9615
2025-12-31 05:00:00,0.0,0.0,0.0,9615
2026-01-02 05:00:00,0.0,3.999999999999993,0.027192599426647146,9615
2026-01-05 05:00:00,0.003373834502814897,3.9999999999999787,-0.5281549803472219,9615
2026-01-06 05:00:00,0.0,0.0,0.0,8690
2026-01-07 05:00:00,0.0,0.0,0.0,8690
2026-01-08 05:00:00,0.0,0.0,0.0,8690
2026-01-09 05:00:00,0.0,0.0,0.0,8690
2026-01-12 05:00:00,0.0,0.0,0.0,8690
2026-01-13 05:00:00,0.0,0.0,0.0,8690
2026-01-14 05:00:00,0.0,0.0,0.0,8690
2026-01-15 05:00:00,0.0,0.0,0.0,8690
2026-01-16 05:00:00,0.0,0.0,0.0,8690
2026-01-20 05:00:00,0.0,0.0,0.0,8690
2026-01-21 05:00:00,0.0,0.0,0.0,8690
2026-01-22 05:00:00,0.0,0.0,0.0,8690
2026-01-23 05:00:00,0.0,0.0,0.0,8690
2026-01-26 05:00:00,0.0,0.0,0.0,8690
2026-01-27 05:00:00,0.0,0.0,0.0,8690
2026-01-28 05:00:00,0.0,0.0,0.0,8690
2026-01-29 05:00:00,0.0,0.0,0.0,8690
2026-01-30 05:00:00,0.0,0.0,0.0,8690
2026-02-02 05:00:00,0.0,0.0,0.0,8690
2026-02-03 05:00:00,0.0,3.9999999999999774,-0.1391105468387268,8690
2026-02-04 05:00:00,-0.031393418576166544,3.999999999999975,-0.33942116811577905,8690
