action,long,short,pair,hedge_ratio,z_score,timestamp,sector,qty_a,qty_b,price_a,price_b,gross_alloc
EXIT,SHORT_SPREAD,3.7262242070990825,3.63762290213669,2026-02-12 15:10:15,ADBE/NVDA,2.1299,3.63762290213669,Information Technology,3,11,2026-02-12 15:09:13,Z_STOP(|z|>=3.5),0.9349822998046875,2000.0
ENTER_SHORT_SPREAD,NVDA,ADBE,ADBE/NVDA,2.1299,3.63762290213669,2026-02-12 15:10:15,Information Technology,3,11,261.1499938964844,187.6699981689453,2000.0
ENTER_SHORT_SPREAD,NVDA,ADBE,ADBE/NVDA,2.1299,3.361405432058638,2026-02-12 15:11:18,Information Technology,3,8,261.5,187.60499572753906,1577.9412236521239
ENTER_SHORT_SPREAD,QCOM,CRM,CRM/QCOM,1.7935,2.7565716455666873,2026-02-12 15:12:20,Information Technology,3,7,184.04200744628906,138.08999633789062,1148.3290489719475
ENTER_LONG_SPREAD,AEP,SO,AEP/SO,1.4748,-2.2615047419299756,2026-02-12 15:12:20,Utilities,3,7,127.55999755859375,92.67500305175781,920.5375545035592
ENTER_LONG_SPREAD,KO,PG,KO/PG,0.4847,-2.0605316635879385,2026-02-12 15:13:22,Consumer Staples,4,1,79.84500122070312,162.66000366210938,781.7854974167517
ENTER_SHORT_SPREAD,BMY,ABBV,ABBV/BMY,-0.8722,2.031913399633826,2026-02-12 15:13:22,Health Care,1,5,228.63499450683594,60.3650016784668,769.3535282483022
ENTER_LONG_SPREAD,KO,PG,KO/PG,0.4847,-2.094074656015118,2026-02-12 15:14:34,Consumer Staples,4,1,79.82499694824219,162.6300048828125,766.4894291703293
ENTER_SHORT_SPREAD,QCOM,CRM,CRM/QCOM,1.7935,3.0380189920190155,2026-02-12 15:14:34,Information Technology,3,7,184.19500732421875,138.02000427246094,1159.78385398428
ENTER_SHORT_SPREAD,NVDA,ADBE,ADBE/NVDA,2.1299,3.2225701974879124,2026-02-12 15:14:34,Information Technology,2,6,261.8699951171875,188.0399932861328,1230.2374979208228
